strategy,symbol,direction,open_time,close_time,entry,sl,tp1,tp2,lot_size,pnl_pips,pnl_usd,outcome,duration_h,notes
S03_AsianRange,AUDUSD,SHORT,2026-02-12 01:40:00+00:00,2026-02-12 04:45:00+00:00,0.7143877744674683,0.715044732551474,0.7128402292728424,0.7116359353065491,1.59,24.62109895441777,385.91047337524265,trail,3.0833333333333335,Asian Scalp Short | Range 0.71083–0.71485 | RSI=66.1 H1RSI=46.8
S03_AsianRange,AUDUSD,SHORT,2026-03-03 01:30:00+00:00,2026-03-03 01:55:00+00:00,0.7120478749275208,0.7126355770614822,0.7103341817855835,0.7090929269790649,1.84,11.320000390960105,201.84800719366592,trail,0.4166666666666667,Asian Scalp Short | Range 0.70827–0.71240 | RSI=74.2 H1RSI=49.5
S03_AsianRange,AUDUSD,LONG,2026-03-10 03:00:00+00:00,2026-03-10 06:00:00+00:00,0.7060650587081909,0.705416267004788,0.7078712582588196,0.7091940879821778,1.7,17.67975751739067,294.6058777956414,trail,3.0,Asian Scalp Long | Range 0.70567–0.71008 | RSI=34.4 H1RSI=67.7
S03_AsianRange,AUDUSD,SHORT,2026-03-16 06:15:00+00:00,2026-03-16 07:35:00+00:00,0.701823353767395,0.7022757479040295,0.7009692490100861,0.7002764344215393,2.5,10.913745475484303,264.09363688710755,trail,1.3333333333333333,Asian Scalp Short | Range 0.69981–0.70212 | RSI=69.7 H1RSI=45.7
S03_AsianRange,AUDUSD,SHORT,2026-03-16 06:20:00+00:00,2026-03-16 07:35:00+00:00,0.7017839550971985,0.7022767266372137,0.7009692490100861,0.7002764344215393,2.35,6.549743475853786,145.69397168256398,trail,1.25,Asian Scalp Short | Range 0.69981–0.70212 | RSI=68.1 H1RSI=45.7
S03_AsianRange,AUDUSD,LONG,2026-03-17 03:50:00+00:00,2026-03-17 04:40:00+00:00,0.7056167125701904,0.7051079931414208,0.7071980237960815,0.7082632899284362,2.3000000000000003,9.29901104423757,205.82725401746416,trail,0.8333333333333334,Asian Scalp Long | Range 0.70542–0.70897 | RSI=28.9 H1RSI=57.0
S03_AsianRange,AUDUSD,LONG,2026-03-18 03:05:00+00:00,2026-03-18 04:05:00+00:00,0.7102222442626953,0.7099026536854578,0.711188793182373,0.7118655323982239,3.73,10.668621312268721,384.8845749476233,trail,1.0,Asian Scalp Long | Range 0.71006–0.71232 | RSI=32.1 H1RSI=64.4
S03_AsianRange,AUDUSD,LONG,2026-03-18 03:10:00+00:00,2026-03-18 04:05:00+00:00,0.7101616859436035,0.7099047366129653,0.711188793182373,0.7118655323982239,4.79,7.844189197318041,358.9716625515341,trail,0.9166666666666666,Asian Scalp Long | Range 0.71006–0.71232 | RSI=31.1 H1RSI=64.4
S03_AsianRange,AUDUSD,SHORT,2026-03-19 02:35:00+00:00,2026-03-19 05:15:00+00:00,0.7054375410079956,0.7058047500430102,0.7042179107666016,0.7034234404563904,3.45,13.507318070018346,453.92747341563296,trail,2.6666666666666665,Asian Scalp Short | Range 0.70289–0.70554 | RSI=65.1 H1RSI=40.1
S03_AsianRange,AUDUSD,SHORT,2026-03-26 04:25:00+00:00,2026-03-26 06:10:00+00:00,0.695313572883606,0.69580960073004,0.6944754123687744,0.6937635540962219,2.64,7.905964291884381,199.4774573057477,trail,1.75,Asian Scalp Short | Range 0.69329–0.69566 | RSI=65.4 H1RSI=47.7
S03_AsianRange,AUDUSD,SHORT,2026-03-26 04:55:00+00:00,2026-03-26 06:10:00+00:00,0.6955747604370117,0.6958073421767283,0.6944754123687744,0.6937635540962219,5.72,10.825221037893794,599.182643367525,trail,1.25,Asian Scalp Short | Range 0.69329–0.69566 | RSI=66.1 H1RSI=47.7
S03_AsianRange,AUDUSD,LONG,2026-04-07 02:00:00+00:00,2026-04-07 04:05:00+00:00,0.690197765827179,0.6897558409301753,0.6910700500011444,0.6917333960533142,3.15,9.445274667485725,286.5011520258003,trail,2.0833333333333335,Asian Scalp Long | Range 0.68996–0.69218 | RSI=31.8 H1RSI=54.3
S03_AsianRange,AUDUSD,LONG,2026-04-07 02:05:00+00:00,2026-04-07 04:05:00+00:00,0.6902740597724915,0.6897650245986389,0.6910700500011444,0.6917333960533142,2.79,8.569677214046278,229.32899427189113,trail,2.0,Asian Scalp Long | Range 0.68996–0.69218 | RSI=33.6 H1RSI=54.3
S03_AsianRange,AUDUSD,LONG,2026-04-07 02:20:00+00:00,2026-04-07 04:00:00+00:00,0.6900930404663086,0.6897766057030427,0.6910700500011444,0.6917333960533142,4.5600000000000005,9.779823742987315,429.9999626802216,trail,1.6666666666666667,Asian Scalp Long | Range 0.68996–0.69218 | RSI=32.0 H1RSI=54.3
S03_AsianRange,AUDUSD,LONG,2026-04-08 03:40:00+00:00,2026-04-08 04:25:00+00:00,0.7045230269432068,0.7041630859124242,0.70633465051651,0.7074901103973389,4.13,16.12371769018187,651.4545406045113,trail,0.75,Asian Scalp Long | Range 0.70441–0.70826 | RSI=34.2 H1RSI=76.2
S03_AsianRange,AUDUSD,SHORT,2026-04-09 04:15:00+00:00,2026-04-09 05:55:00+00:00,0.70447838306427,0.704761776464458,0.7036420106887817,0.7030478835105896,5.47,9.364570510904034,493.09700694645073,trail,1.6666666666666667,Asian Scalp Short | Range 0.70265–0.70463 | RSI=65.7 H1RSI=51.9
S03_AsianRange,AUDUSD,SHORT,2026-04-09 04:20:00+00:00,2026-04-09 05:55:00+00:00,0.704542875289917,0.7047584762732603,0.7036420106887817,0.7030478835105896,7.42,8.279841225115868,588.3942189035974,trail,1.5833333333333333,Asian Scalp Short | Range 0.70265–0.70463 | RSI=66.9 H1RSI=51.9
S03_AsianRange,AUDUSD,SHORT,2026-04-09 04:35:00+00:00,2026-04-09 05:55:00+00:00,0.7045478224754333,0.7047491896003788,0.7036420106887817,0.7030478835105896,8.24,9.011019293455545,713.6679897807371,trail,1.3333333333333333,Asian Scalp Short | Range 0.70265–0.70463 | RSI=65.9 H1RSI=51.9
S03_AsianRange,AUDUSD,SHORT,2026-04-10 01:55:00+00:00,2026-04-10 02:20:00+00:00,0.7082002758979797,0.7083922453245817,0.7072575986385345,0.7066408514976501,9.01,8.706108984598991,752.8854195123691,trail,0.4166666666666667,Asian Scalp Short | Range 0.70623–0.70829 | RSI=66.8 H1RSI=49.5
S03_AsianRange,NZDUSD,LONG,2026-01-28 02:00:00+00:00,2026-01-28 05:25:00+00:00,0.6013952493667603,0.6008127787728428,0.6024127900600433,0.603240180015564,1.72,9.17048415756444,151.71232751010834,trail,3.4166666666666665,Asian Scalp Long | Range 0.60103–0.60379 | RSI=32.3 H1RSI=62.8
S03_AsianRange,NZDUSD,LONG,2026-01-28 02:05:00+00:00,2026-01-28 05:25:00+00:00,0.6013952493667603,0.6008264990594497,0.6024127900600433,0.603240180015564,1.78,7.726174179010947,131.29590038639486,trail,3.3333333333333335,Asian Scalp Long | Range 0.60103–0.60379 | RSI=32.3 H1RSI=62.8
S03_AsianRange,NZDUSD,SHORT,2026-02-12 02:10:00+00:00,2026-02-12 04:45:00+00:00,0.606207549571991,0.6064201615120086,0.6052005887031555,0.6045522809028625,4.84,11.700815818625841,549.3794856214907,trail,2.5833333333333335,Asian Scalp Short | Range 0.60412–0.60628 | RSI=65.4 H1RSI=45.1
S03_AsianRange,NZDUSD,SHORT,2026-02-24 03:10:00+00:00,2026-02-24 04:35:00+00:00,0.59719318151474,0.5974029878218385,0.596233606338501,0.5956150531768799,5.16,8.336272920505516,412.0916826980846,trail,1.4166666666666667,Asian Scalp Short | Range 0.59520–0.59726 | RSI=73.4 H1RSI=48.4
S03_AsianRange,NZDUSD,SHORT,2026-03-03 01:30:00+00:00,2026-03-03 02:15:00+00:00,0.5953798294067383,0.5957763419473079,0.5940576493740082,0.5931153893470764,2.84,12.427826943480378,343.01028519484277,trail,0.75,Asian Scalp Short | Range 0.59249–0.59563 | RSI=67.9 H1RSI=39.3
S03_AsianRange,NZDUSD,LONG,2026-03-04 01:25:00+00:00,2026-03-04 02:10:00+00:00,0.5865446329116821,0.586156584494346,0.5885372757911682,0.5898154020309448,2.99,18.697801589485636,548.5992675256206,trail,0.75,Asian Scalp Long | Range 0.58641–0.59067 | RSI=26.8 H1RSI=50.8
S03_AsianRange,NZDUSD,LONG,2026-03-04 01:30:00+00:00,2026-03-04 02:10:00+00:00,0.5867511630058289,0.5861567819224538,0.5885372757911682,0.5898154020309448,2.04,17.33530693690829,346.5002615129291,trail,0.6666666666666666,Asian Scalp Long | Range 0.58641–0.59067 | RSI=30.7 H1RSI=50.8
S03_AsianRange,NZDUSD,LONG,2026-03-10 03:00:00+00:00,2026-03-10 06:20:00+00:00,0.5912961363792419,0.5907987866025252,0.5923324227333069,0.5931429147720337,2.5100000000000002,9.296507570546142,224.55734002070812,trail,3.3333333333333335,Asian Scalp Long | Range 0.59098–0.59368 | RSI=28.3 H1RSI=58.1
S03_AsianRange,NZDUSD,LONG,2026-03-10 03:10:00+00:00,2026-03-10 06:20:00+00:00,0.5914010405540466,0.5908047011182234,0.5923324227333069,0.5931429147720337,2.13,7.934360474554714,161.54687810801536,trail,3.1666666666666665,Asian Scalp Long | Range 0.59098–0.59368 | RSI=31.9 H1RSI=58.1
S03_AsianRange,NZDUSD,LONG,2026-03-10 03:20:00+00:00,2026-03-10 06:20:00+00:00,0.5913660526275635,0.5908157956467668,0.5923324227333069,0.5931429147720337,2.34,8.00338429142181,179.08919241927038,trail,3.0,Asian Scalp Long | Range 0.59098–0.59368 | RSI=32.1 H1RSI=58.1
S03_AsianRange,NZDUSD,SHORT,2026-03-12 01:45:00+00:00,2026-03-12 02:30:00+00:00,0.5913310647010803,0.5916333647193901,0.5904599130153656,0.5898532867431641,4.32,8.757890695685488,363.2208780536131,trail,0.75,Asian Scalp Short | Range 0.58945–0.59147 | RSI=67.7 H1RSI=44.3
S03_AsianRange,NZDUSD,SHORT,2026-03-16 03:35:00+00:00,2026-03-16 05:30:00+00:00,0.5814967751502991,0.581711930932239,0.5806541740894318,0.5800877451896668,6.23,8.180162380107591,487.81911628070304,trail,1.9166666666666667,Asian Scalp Short | Range 0.57971–0.58160 | RSI=71.2 H1RSI=45.3
S03_AsianRange,NZDUSD,SHORT,2026-03-16 03:45:00+00:00,2026-03-16 05:30:00+00:00,0.5814967751502991,0.581701791237692,0.5806541740894318,0.5800877451896668,6.78,9.192999118042543,599.5553402032845,trail,1.75,Asian Scalp Short | Range 0.57971–0.58160 | RSI=70.1 H1RSI=45.3
S03_AsianRange,NZDUSD,SHORT,2026-03-19 02:25:00+00:00,2026-03-19 07:45:00+00:00,0.5826147794723511,0.583108673653645,0.581399142742157,0.5805067539215087,2.94,15.022251281916809,431.3641876883542,trail,5.333333333333333,Asian Scalp Short | Range 0.57991–0.58289 | RSI=67.1 H1RSI=45.2
S03_AsianRange,NZDUSD,SHORT,2026-03-19 02:35:00+00:00,2026-03-19 07:45:00+00:00,0.5826826691627502,0.5831041228473066,0.581399142742157,0.5805067539215087,3.54,13.78318035929389,475.53458471900365,trail,5.166666666666667,Asian Scalp Short | Range 0.57991–0.58289 | RSI=65.4 H1RSI=45.2
S03_AsianRange,NZDUSD,SHORT,2026-03-26 04:25:00+00:00,2026-03-26 05:55:00+00:00,0.5809224843978882,0.5811131101942166,0.5802493691444397,0.5797847390174866,8.08,6.746183779617953,516.8116493931306,trail,1.5,Asian Scalp Short | Range 0.57947–0.58102 | RSI=65.0 H1RSI=40.6
S03_AsianRange,NZDUSD,SHORT,2026-03-27 05:20:00+00:00,2026-03-27 08:00:00+00:00,0.5778676867485046,0.5780246107154674,0.5767204761505127,0.5759920597076416,10.15,9.76301008591025,955.4205237198905,trail,2.6666666666666665,Asian Scalp Short | Range 0.57551–0.57793 | RSI=69.9 H1RSI=46.5
S03_AsianRange,NZDUSD,LONG,2026-04-15 02:40:00+00:00,2026-04-15 03:45:00+00:00,0.5896574258804321,0.5893571257917192,0.5902676284313202,0.5907588839530945,5.62,5.753504475653392,303.67695153172065,trail,1.0833333333333333,Asian Scalp Long | Range 0.58945–0.59109 | RSI=33.3 H1RSI=59.9
S03_AsianRange,ETHUSD,LONG,2026-02-20 04:25:00+00:00,2026-02-20 05:30:00+00:00,1934.7572021484375,1931.3522521633686,1947.9752807617188,1956.53095703125,29.400000000000002,1571.6784973854135,359.1734782313117,trail,1.0833333333333333,Asian Scalp Long | Range 1933.71582–1962.23474 | RSI=22.9 H1RSI=53.2
S03_AsianRange,ETHUSD,LONG,2026-02-20 04:30:00+00:00,2026-02-20 05:30:00+00:00,1937.2252197265625,1931.3800488838424,1947.9752807617188,1956.53095703125,17.7,1486.8507285640676,201.22257895583996,trail,1.0,Asian Scalp Long | Range 1933.71582–1962.23474 | RSI=28.9 H1RSI=53.2
S03_AsianRange,ETHUSD,LONG,2026-03-04 07:50:00+00:00,2026-03-04 08:45:00+00:00,1997.9296554162745,1992.520282465643,2048.242431640625,2098.9713134765625,19.5,3931.6396501691297,698.4197317829804,trail,0.9166666666666666,London BO Long | Range 1946.78467–1997.51355 | Vol=205002752 | Body=75%
S03_AsianRange,ETHUSD,SHORT,2026-03-11 05:00:00+00:00,2026-03-11 05:35:00+00:00,2038.3841552734375,2042.3687947773808,2027.49658203125,2019.821533203125,28.3,1128.8954110543382,220.42740132837775,trail,0.5833333333333334,Asian Scalp Short | Range 2014.70483–2040.28833 | RSI=66.3 H1RSI=46.3
S03_AsianRange,ETHUSD,SHORT,2026-03-11 05:05:00+00:00,2026-03-11 05:35:00+00:00,2039.334716796875,2042.2822855801126,2027.49658203125,2019.821533203125,38.900000000000006,1161.1011169053781,315.5183344761922,trail,0.5,Asian Scalp Short | Range 2014.70483–2040.28833 | RSI=67.4 H1RSI=46.3
S03_AsianRange,ETHUSD,LONG,2026-03-17 04:45:00+00:00,2026-03-17 07:30:00+00:00,2307.017578125,2293.4342789921,2336.6749267578125,2359.61533203125,8.700000000000001,2782.283009219448,211.608621802092,trail,2.75,Asian Scalp Long | Range 2298.44092–2374.90894 | RSI=29.8 H1RSI=57.2
S03_AsianRange,ETHUSD,LONG,2026-03-17 04:50:00+00:00,2026-03-17 07:30:00+00:00,2306.78466796875,2293.6831488520393,2336.6749267578125,2359.61533203125,9.200000000000001,2426.296082849417,191.01923962214642,trail,2.6666666666666665,Asian Scalp Long | Range 2298.44092–2374.90894 | RSI=29.7 H1RSI=57.2
S03_AsianRange,ETHUSD,SHORT,2026-03-18 03:40:00+00:00,2026-03-18 05:00:00+00:00,2344.162353515625,2350.693557619665,2328.923095703125,2317.324169921875,18.7,1329.7423503620425,183.21181951770194,trail,1.3333333333333333,Asian Scalp Short | Range 2309.59155–2348.25464 | RSI=68.2 H1RSI=50.9
S03_AsianRange,ETHUSD,SHORT,2026-03-20 01:50:00+00:00,2026-03-20 02:15:00+00:00,2158.59619140625,2162.387609067879,2146.58740234375,2138.6107421875,32.7,1268.491268270246,300.34664472437044,trail,0.4166666666666667,Asian Scalp Short | Range 2133.29297–2159.88184 | RSI=67.6 H1RSI=40.9
S03_AsianRange,ETHUSD,SHORT,2026-03-23 05:20:00+00:00,2026-03-23 06:35:00+00:00,2068.672607421875,2073.7396656257015,2050.5689086914062,2038.03369140625,25.0,2515.8277723754463,541.4569430938616,trail,1.25,Asian Scalp Short | Range 2029.67688–2071.46094 | RSI=67.8 H1RSI=35.3
S03_AsianRange,ETHUSD,LONG,2026-03-25 08:30:00+00:00,2026-03-25 12:20:00+00:00,2176.7334637705276,2172.3082980349172,2205.1484375,2233.90380859375,29.900000000000002,-762.583087133271,-332.66234305284803,sl,3.8333333333333335,London BO Long | Range 2147.63770–2176.39307 | Vol=90955776 | Body=93%
S03_AsianRange,ETHUSD,SHORT,2026-03-29 03:25:00+00:00,2026-03-29 05:05:00+00:00,2012.431640625,2017.2935641115491,2003.4913940429688,1996.2619873046874,26.5,1047.241060592412,184.76888105698924,trail,1.6666666666666667,Asian Scalp Short | Range 1991.44238–2015.54041 | RSI=66.0 H1RSI=46.8
S03_AsianRange,ETHUSD,SHORT,2026-03-29 03:30:00+00:00,2026-03-29 05:05:00+00:00,2012.6580810546875,2017.2307408240056,2003.4913940429688,1996.2619873046874,28.6,937.2948511513831,167.96632742929557,trail,1.5833333333333333,Asian Scalp Short | Range 1991.44238–2015.54041 | RSI=66.3 H1RSI=46.8
S03_AsianRange,ETHUSD,LONG,2026-04-14 07:10:00+00:00,2026-04-14 07:40:00+00:00,2379.2083152705795,2373.900851518671,2401.960205078125,2425.120361328125,25.0,-1519.1236371953892,-467.2809092988473,sl,0.5,London BO Long | Range 2355.63989–2378.80005 | Vol=101167104 | Body=92%
S03_AsianRange,GBPUSD,LONG,2026-01-27 04:45:00+00:00,2026-01-27 06:10:00+00:00,1.3673717975616455,1.366920171215336,1.3686178922653198,1.369511318206787,2.21,11.235333176657747,240.56586320413618,trail,1.4166666666666667,Asian Scalp Long | Range 1.36713–1.37011 | RSI=27.0 H1RSI=58.1
S03_AsianRange,GBPUSD,LONG,2026-01-27 04:50:00+00:00,2026-01-27 06:10:00+00:00,1.3674652576446533,1.3669297361973216,1.3686178922653198,1.369511318206787,1.9100000000000001,10.719034274893046,198.04855465045716,trail,1.3333333333333333,Asian Scalp Long | Range 1.36713–1.37011 | RSI=30.0 H1RSI=58.1
S03_AsianRange,GBPUSD,LONG,2026-01-27 04:55:00+00:00,2026-01-27 06:10:00+00:00,1.3675774335861206,1.3669364790110559,1.3686178922653198,1.369511318206787,1.6300000000000001,9.236245624664097,144.84580368202478,trail,1.25,Asian Scalp Long | Range 1.36713–1.37011 | RSI=33.5 H1RSI=58.1
