strategy,symbol,direction,open_time,close_time,entry,sl,tp1,tp2,lot_size,pnl_pips,pnl_usd,outcome,duration_h,notes
S03_AsianRange,BTCUSD,LONG,2025-10-17 07:00:00+00:00,2025-10-17 08:00:00+00:00,106829.078125,106120.71839866969,107980.609375,108715.215625,0.21,-656.9503513303061,-138.6945737793643,sl,1.0,Asian Scalp Long | Range 106756.26562–109204.95312 | RSI=31.0
S03_AsianRange,BTCUSD,SHORT,2025-10-20 06:00:00+00:00,2025-10-21 04:00:00+00:00,111010.6796875,111873.21234072487,109425.9296875,108265.5484375,0.17,2778.1890625000087,235.84857031250075,tp2,22.0,Asian Scalp Short | Range 107491.96094–111359.89844 | RSI=73.3
S03_AsianRange,BTCUSD,SHORT,2025-10-20 07:00:00+00:00,2025-10-21 04:00:00+00:00,111347.203125,111856.50241906596,109425.9296875,108265.5484375,0.3,3078.9937500000087,461.32406250000133,tp2,21.0,Asian Scalp Short | Range 107491.96094–111359.89844 | RSI=74.9
S03_AsianRange,BTCUSD,LONG,2025-10-21 05:00:00+00:00,2025-10-21 14:00:00+00:00,107843.015625,107044.46943447496,109066.7421875,109979.2765625,0.2,3399.4781250000087,322.87593750000093,tp2,9.0,Asian Scalp Long | Range 107545.85156–110587.63281 | RSI=28.9
S03_AsianRange,BTCUSD,LONG,2025-10-21 06:00:00+00:00,2025-10-21 14:00:00+00:00,107571.828125,107054.94003290532,109066.7421875,109979.2765625,0.31,3889.4781250000087,557.4202031250013,tp2,8.0,Asian Scalp Long | Range 107545.85156–110587.63281 | RSI=27.4
S03_AsianRange,BTCUSD,LONG,2025-11-03 07:00:00+00:00,2025-11-03 15:00:00+00:00,107538.0234375,106646.00871641823,108889.62890625,109984.078125,0.19,-842.7537835817639,-160.78821888053514,sl,8.0,Asian Scalp Long | Range 107065.54688–110713.71094 | RSI=25.1
S03_AsianRange,BTCUSD,LONG,2025-12-01 05:00:00+00:00,2025-12-01 12:00:00+00:00,85816.6875,85169.87097853227,88022.89453125,89437.0640625,0.26,-642.8993339677254,-168.0638268316086,sl,7.0,Asian Scalp Long | Range 85665.94531–90379.84375 | RSI=14.6
S03_AsianRange,BTCUSD,LONG,2025-12-01 06:00:00+00:00,2025-12-01 12:00:00+00:00,85975.171875,85186.31557381568,88022.89453125,89437.0640625,0.21,-801.5563011843187,-169.06182324870693,sl,6.0,Asian Scalp Long | Range 85665.94531–90379.84375 | RSI=17.0
S03_AsianRange,BTCUSD,LONG,2025-12-01 07:00:00+00:00,2025-12-01 12:00:00+00:00,86270.1796875,85200.81680515027,88022.89453125,89437.0640625,0.15,-1065.7660073497245,-160.38990110245868,sl,5.0,Asian Scalp Long | Range 85665.94531–90379.84375 | RSI=21.3
S03_AsianRange,BTCUSD,SHORT,2025-12-26 03:00:00+00:00,2025-12-26 14:00:00+00:00,89091.078125,89577.92760393531,88075.0625,87380.8109375,0.33,1717.996874999997,282.89198437499954,tp2,11.0,Asian Scalp Short | Range 86917.97656–89232.14844 | RSI=67.9
S03_AsianRange,BTCUSD,SHORT,2025-12-26 07:00:00+00:00,2025-12-26 14:00:00+00:00,89133.1015625,89563.6564035183,88075.0625,87380.8109375,0.39,1691.871874999997,329.23251562499945,tp2,7.0,Asian Scalp Short | Range 86917.97656–89232.14844 | RSI=65.9
S03_AsianRange,BTCUSD,SHORT,2025-12-29 04:00:00+00:00,2025-12-29 09:00:00+00:00,90032.4140625,90530.8219973442,89012.69140625,88258.896875,0.34,1753.535937499997,297.5061093749995,tp2,5.0,Asian Scalp Short | Range 87756.36719–90269.01562 | RSI=88.7
S03_AsianRange,BTCUSD,SHORT,2025-12-29 05:00:00+00:00,2025-12-29 09:00:00+00:00,90100.4140625,90533.03270289104,89012.69140625,88258.896875,0.41000000000000003,1811.660937499997,370.67299218749946,tp2,4.0,Asian Scalp Short | Range 87756.36719–90269.01562 | RSI=89.0
S03_AsianRange,BTCUSD,SHORT,2025-12-29 06:00:00+00:00,2025-12-29 09:00:00+00:00,89927.6875,90532.52121518455,89012.69140625,88258.896875,0.3,1649.895312499997,246.95929687499955,tp2,3.0,Asian Scalp Short | Range 87756.36719–90269.01562 | RSI=83.2
S03_AsianRange,BTCUSD,LONG,2026-01-20 07:00:00+00:00,2026-01-20 14:00:00+00:00,90770.21875,90396.93529501444,91755.66015625,92380.590625,0.5,-420.02251748555864,-211.76125874277932,sl,7.0,Asian Scalp Long | Range 90714.10938–92797.21094 | RSI=18.8
S03_AsianRange,BTCUSD,LONG,2026-02-11 07:00:00+00:00,2026-02-11 14:00:00+00:00,66750.9140625,66095.68114506244,67911.65234375,68710.2546875,0.28,0.0,-0.49000000000000005,be,7.0,Asian Scalp Long | Range 66580.64844–69242.65625 | RSI=28.6
S03_AsianRange,BTCUSD,LONG,2026-02-23 03:00:00+00:00,2026-02-23 17:00:00+00:00,64727.58984375,64059.8078708387,66017.322265625,66987.27265625,0.28,0.0,-0.49000000000000005,be,14.0,Asian Scalp Long | Range 64400.73828–67633.90625 | RSI=18.3
S03_AsianRange,BTCUSD,LONG,2026-02-23 05:00:00+00:00,2026-02-23 17:00:00+00:00,64811.03515625,64072.99833234944,66017.322265625,66987.27265625,0.25,0.0,-0.4375,be,12.0,Asian Scalp Long | Range 64400.73828–67633.90625 | RSI=21.8
S03_AsianRange,BTCUSD,SHORT,2026-03-30 05:00:00+00:00,2026-03-30 13:00:00+00:00,67541.890625,67996.36864013027,66714.140625,66149.4890625,0.42,-437.42801513026643,-185.1897663547119,sl,8.0,Asian Scalp Short | Range 65773.05469–67655.22656 | RSI=66.4
